AÑO,MES,CONGLOME,SEGMENTO,VIVIENDA,HOGAR,CODPERSO,UBIGEO,DOMINIO,ESTRATO,P201,P201P,P203,P203A,P203B,P204,P205,P206,P207,P208A,P208B,P209,P210,P211A,P211D,P212,P213,P214,T211,TICUEST01,ESTRATOSOCIO,OCUPAC_R4,RAMA_R4,CODTAREA,CODTIEMPO,P209A,T209A,FACTOR
2024,08,000005,000005,002,11,04,240101,1,3,4,20240000050021104,3,1,3,1,2, ,1,15, ,6,1, ,11,4,4,4, ,2,60,9112,1071,1,0,2,2,29.7715797424316
2024,08,000005,000005,002,11,05,240101,1,3,5,20240000050021105,3,1,3,1,2, ,2,13, ,6,1, ,11,5,5,0, ,2,60,9129,1071,1,1,2,2,29.7715797424316
2024,08,000005,000005,002,11,01,240101,1,3,1,20240000050021101,1,1,1,1,2, ,2,37, ,1, , , ,1,1,1, ,2,60, , , , ,2,2,29.7715797424316
2024,08,000005,000005,002,11,02,240101,1,3,2,20240000050021102,2,1,2,1,2, ,1,39, ,1, , , ,2,2,2, ,2,60, , , , ,2,2,29.7715797424316
2024,08,000005,000005,002,11,03,240101,1,3,3,20240000050021103,3,1,3,1,2, ,1,18, ,6, , , ,3,3,3, ,2,60, , , , ,2,2,29.7715797424316
2024,08,000005,000006,009,12,01,240101,1,3,1,20240000050091201,1,1,1,1,2, ,1,59, ,1, , , ,1,1,1, ,2,60, , , , ,2,2,14.8857898712158
2024,08,000005,000006,009,12,02,240101,1,3,2,20240000050091202,2,1,2,1,2, ,2,51, ,1, , , ,2,2,2, ,2,60, , , , ,2,2,14.8857898712158
2024,08,000005,000006,009,12,03,240101,1,3,3,20240000050091203,3,1,3,1,2, ,1,31, ,6, , , ,3,3,3, ,2,60, , , , ,2,2,14.8857898712158
2024,08,000005,000006,009,22,03,240101,1,3,3,20240000050092203,3,1,3,1,2, ,2,14, ,6,2,1,3,3,3,3,1,2,60,9112,5630,1,0,2,2,14.8857898712158
2024,08,000005,000006,009,22,01,240101,1,3,1,20240000050092201,1,1,1,1,2, ,2,39, ,6, , , ,1,1,1, ,2,60, , , , ,2,2,14.8857898712158
2024,08,000005,000006,009,22,02,240101,1,3,2,20240000050092202,3,1,3,1,2, ,1,4, , , , , ,2,2,0, ,2,60, , , , ,2,2,14.8857898712158
2024,08,000005,000006,010,11,01,240101,1,3,1,20240000050101101,1,1,1,1,2, ,2,58, ,1, , , ,1,1,1, ,2,60, , , , ,2,2,14.8857898712158
2024,08,000005,000006,010,11,02,240101,1,3,2,20240000050101102,2,1,2,1,2, ,1,64, ,1, , , ,2,2,2, ,2,60, , , , ,2,2,14.8857898712158
2024,08,000010,000010,013,11,01,240101,1,3,1,20240000100131101,1,0,1,1,2, ,1,36, ,6, , , ,1,1,1, ,2,60, , , , ,2,2,29.7715797424316
2024,08,000010,000011,016,11,03,240101,1,3,3,20240000100161103,3,1,3,1,2, ,1,14, ,6,1, ,12,3,3,3, ,2,60,9129,9609,1,0,2,2,14.8857898712158
2024,08,000010,000011,016,11,01,240101,1,3,1,20240000100161101,1,1,1,1,2, ,1,42, ,1, , , ,1,1,1, ,2,60, , , , ,2,2,14.8857898712158
2024,08,000010,000011,016,11,02,240101,1,3,2,20240000100161102,2,1,2,1,2, ,2,35, ,1, , , ,2,2,2, ,2,60, , , , ,2,2,14.8857898712158
2024,08,000010,000011,016,11,04,240101,1,3,4,20240000100161104,3,1,3,1,2, ,2,11, , ,2,9, ,4,4,0,9,2,60, , , , ,2,2,14.8857898712158
2024,08,000010,000011,017,11,01,240101,1,3,1,20240000100171101,1,1,1,1,2, ,1,32, ,2, , , ,1,1,1, ,2,60, , , , ,2,2,14.8857898712158
2024,08,000010,000011,017,11,02,240101,1,3,2,20240000100171102,2,1,2,1,2, ,2,30, ,2, , , ,2,2,2, ,2,60, , , , ,2,2,14.8857898712158
2024,08,000010,000011,017,11,03,240101,1,3,3,20240000100171103,3,1,3,1,2, ,1,8, , ,2,9, ,3,3,0,9,2,60, , , , ,2,2,14.8857898712158
2024,08,000016,000016,016,11,01,240101,1,3,1,20240000160161101,1,1,1,1,2, ,1,32, ,1, , , ,1,1,1, ,2,60, , , , ,2,2,14.8857898712158
2024,08,000016,000016,016,11,02,240101,1,3,2,20240000160161102,2,1,2,1,2, ,2,34, ,1, , , ,2,2,2, ,2,60, , , , ,1,1,14.8857898712158
2024,08,000016,000016,016,11,03,240101,1,3,3,20240000160161103,3,1,3,1,2, ,2,14, ,6,2,9, ,3,3,3,9,2,60, , , , ,1,1,14.8857898712158
2024,08,000016,000016,016,11,04,240101,1,3,4,20240000160161104,3,1,3,1,2, ,2,9, , ,2,9, ,4,4,0,9,2,60, , , , ,1,1,14.8857898712158
2024,08,000016,000016,017,11,01,240101,1,3,1,20240000160171101,1,1,1,1,2, ,2,53, ,5, , , ,1,1,1, ,2,60, , , , ,2,2,14.8857898712158
2024,08,000016,000016,017,11,02,240101,1,3,2,20240000160171102,3,1,3,1,2, ,1,28, ,6, , , ,2,2,2, ,2,60, , , , ,2,2,14.8857898712158
2024,08,000016,000019,036,11,01,240101,1,3,1,20240000160361101,1,1,1,1,2, ,1,50, ,2, , , ,1,1,1, ,2,60, , , , ,2,2,29.7715797424316
2024,08,000016,000019,036,11,02,240101,1,3,2,20240000160361102,2,1,2,1,2, ,2,52, ,2, , , ,2,2,2, ,2,60, , , , ,2,2,29.7715797424316
2024,08,000037,000037,044,11,01,240101,1,3,1,20240000370441101,1,1,1,1,2, ,2,60, ,2, , , ,1,1,1, ,2,60, , , , ,2,2,14.8857898712158
2024,08,000037,000037,044,11,02,240101,1,3,2,20240000370441102,2,1,2,1,2, ,1,62, ,2, , , ,2,2,2, ,2,60, , , , ,2,2,14.8857898712158
2024,08,000037,000037,044,11,03,240101,1,3,3,20240000370441103,3,2,1,1,2, ,2,36, ,5, , , ,3,3,3, ,2,60, , , , ,2,2,14.8857898712158
