AÑO,MES,CONGLOME,SEGMENTO,VIVIENDA,HOGAR,CODPERSO,UBIGEO,DOMINIO,ESTRATO,CODINFOR,P1000_MES,P1000_ANHO,P1000,P1001_1,P1001_2,P1001_3,P1001_4,P1001_5,P1001_6,P1001_7,P1002,P1003,P1004,P1005_1,P1005_2,P1005_3,P1005_4,P1005_5,P1005_6,P1005_7,P1005_8,P1005_9,P1005_10,P1005_11,P1005A,P1006,P1007,P1008_1,P1008_2,P1008_3,P1008_4,P1008_5,P1008_6,P1008_7,P1008_8,P1008_9,P1008_10,P1008_11,P1008_12,P1009,P1010_1,P1010_2,P1010_3,P1010_4,P1010_5,P1010_6,P1010_7,P1011_1,P1011_2,P1011_3,P1011_4,P1011_5,P1011_6,P1011_7,P1011_8,P1011_9,P1011_10,P1012,P1013_1,P1013_2,P1013_3,P1013_4,P1013_5,P1013_6,P1013_7,P1014_1,P1014_2,P1014_3,P1014_4,P1015_1_1,P1015_1_2,P1015_1_3,P1015_1_4,P1015_2_1,P1015_2_2,P1015_2_3,P1015_2_4,P1015_3_1,P1015_3_2,P1015_3_3,P1015_3_4,P1015_4_1,P1015_4_2,P1015_4_3,P1015_4_4,P1015_5_1,P1015_5_2,P1015_5_3,P1015_5_4,P1015_6_1,P1015_6_2,P1015_6_3,P1015_6_4,P1015_7_1,P1015_7_2,P1015_7_3,P1015_7_4,P1015_8_1,P1015_8_2,P1015_8_3,P1015_8_4,P1015_9_1,P1015_9_2,P1015_9_3,P1015_9_4,P1015_10_1,P1015_10_2,P1015_10_3,P1015_10_4,P1015_11_1,P1015_11_2,P1015_11_3,P1015_11_4,P1016_1_1,P1016_1_2,P1016_1_3,P1016_1_4,P1016_1_5,P1016_1_6,P1016_1_7,P1016_1_8,P1016_1_9,P1016_1_10,P1016_1_11,P1016_1_12,P1016_1_13,P1016_1_14,P1016_2_1,P1016_2_2,P1016_2_3,P1016_2_4,P1016_2_5,P1016_2_6,P1016_2_7,P1016_2_8,P1016_2_9,P1016_2_10,P1016_2_11,P1016_2_12,P1016_2_13,P1016_2_14,P1016_3_1,P1016_3_2,P1016_3_3,P1016_3_4,P1016_3_5,P1016_3_6,P1016_3_7,P1016_3_8,P1016_3_9,P1016_3_10,P1016_3_11,P1016_3_12,P1016_3_13,P1016_3_14,P1016_4_1,P1016_4_2,P1016_4_3,P1016_4_4,P1016_4_5,P1016_4_6,P1016_4_7,P1016_4_8,P1016_4_9,P1016_4_10,P1016_4_11,P1016_4_12,P1016_4_13,P1016_4_14,P209A,T209A,ESTRATOSOCIO,FACTOR
2024,08,000005,000005,002,11,01,240101,1,3,01,3,2022, ,0,2,0,4,0,0,0,2, ,5,0,2,0,0,0,0,0,0,0,10,0,2,1,2, , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , ,3,2,2,2,2,2,2,2,1,1,2,2,1,1, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,1,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,60,29.7715797424316
2024,08,000005,000005,002,11,02,240101,1,3,02,3,2022, ,1,0,0,4,0,0,0,2, ,5,0,2,0,0,0,0,0,0,0,10,0,2,1,2, , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , ,4,2,2,2,2,2,2,2,1,1,2,2,1,1, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,0,0, , ,1,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,60,29.7715797424316
2024,08,000005,000005,002,11,03,240101,1,3,03,3,2022, ,1,0,0,4,0,0,0,2, ,5,1,0,0,0,0,0,0,0,0,0,0, ,1,2, , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , ,4,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,2,60,29.7715797424316
2024,08,000005,000005,002,11,04,240101,1,3,04,3,2020, ,0,0,0,4,0,0,0,2, ,5,0,2,0,0,0,0,0,8,0,0,0, ,1,2, , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,60,29.7715797424316
2024,08,000005,000005,002,11,05,240101,1,3,05,3,2020, ,0,0,0,4,0,0,0,2, ,5,0,2,0,0,0,0,0,0,0,0,0, ,1,2, , , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,60,29.7715797424316
2024,08,000005,000006,009,12,01,240101,1,3,02,12,2022, ,1,0,0,0,0,0,0,2, ,5,1,0,0,0,0,6,0,0,0,10,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , , , , , , , ,3,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,60,14.8857898712158
2024,08,000005,000006,009,12,02,240101,1,3,02,12,2022, ,1,0,0,0,0,0,0,2, ,5,0,0,0,0,0,0,0,0,0,10,0,2,2,1,1,0,0,0,5,0,0,0,0,10,0,0,1,0,0,3,0,5,0,0,0,0,0,0,5,0,0,0,9,0,1,2,2,2,2,2,2,2,1,1,1,2,1,1,1, ,2,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,0,0,0, ,1,2,0,0,0,0,7,0,0,0,0,0,0,0,1,2,0,0,0,0,7,0,0,0,0,0,0,0,1,2,0,0,0,0,7,0,0,0,0,0,0,0,1,2,0,0,0,0,7,0,0,0,0,0,0,0,2,2,60,14.8857898712158
2024,08,000005,000006,009,12,03,240101,1,3,03,2,2023, ,1,0,0,0,0,0,0,2, ,5,0,0,0,0,0,0,0,0,0,10,0,2,1,1,1,0,3,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , , , , , , , ,4,1,2,2,2,1,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,60,14.8857898712158
2024,08,000005,000006,009,22,01,240101,1,3,01,10,2022, ,1,0,0,0,0,0,0,2, ,5,1,2,0,0,0,0,0,0,0,0,0, ,1,1,1,0,0,4,5,0,7,0,0,10,0,0,2, , , , , , , , , , , , , , , , , ,2,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,8,0,0,0,0,0,0,1,0,0,0,0,0,7,8,0,0,0,0,0,0,1,0,0,0,0,0,7,8,0,0,0,0,0,0,1,0,0,0,0,0,7,8,0,0,0,0,0,0,2,2,60,14.8857898712158
2024,08,000005,000006,009,22,02,240101,1,3,01,10,2022, ,0,0,0,0,5,0,0,1, ,5,1,2,0,0,0,0,0,0,0,0,0, ,1,1,0,0,0,0,0,0,7,8,9,10,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,60,14.8857898712158
