sexo,edad,estado_civil,nacionalidad,nivel_educ_venezuela,nivel_educ_peru,obtuvo_titulo,homologo_titulo_peru,tiene_carrera_superior,anios_escolaridad_venezuela,anios_escolaridad_peru,brecha_educativa_anios,tipo_permiso_migratorio,tiempo_residencia_anios,condicion_laboral,fuente
1,36.0,1,2,8.0,13.0, , ,1,14.0,14.0,0.0,2,4,Empleado_Formal,ENPOVE_2022
2,33.0,6,2,10.0,13.0,1,2,1,16.0,16.0,0.0,9,3,Empleado_Informal,ENPOVE_2022
1,24.0,6,2,9.0,13.0, , ,1,13.5,13.5,0.0,9,3,Empleado_Formal,ENPOVE_2022
1,28.0,1,2,4.0,13.0, , ,1,9.0,9.0,0.0,2,4,Empleado_Formal,ENPOVE_2022
2,46.0,1,2,5.0,13.0, , ,1,10.0,10.0,0.0,9,1,Empleado_Informal,ENPOVE_2022
1,53.0,1,2,5.0,13.0, , ,1,10.0,10.0,0.0,2,4,Empleado_Informal,ENPOVE_2022
1,16.0,5,2,5.0,13.0, , ,1,10.0,10.0,0.0,9,1,Empleado_Informal,ENPOVE_2022
2,38.0,1,2,10.0,13.0,1,2,1,16.0,16.0,0.0,2,4,Empleado_Informal,ENPOVE_2022
2,33.0,1,2,9.0,13.0, , ,1,13.5,13.5,0.0,2,4,Empleado_Informal,ENPOVE_2022
2,23.0,1,2,6.0,13.0, , ,1,11.0,11.0,0.0,9,2,Desempleado,ENPOVE_2022
1,47.0,2,2,10.0,13.0,1,2,1,16.0,16.0,0.0,2,4,Empleado_Formal,ENPOVE_2022
2,38.0,1,2,5.0,13.0, , ,1,10.0,10.0,0.0,9,1,Empleado_Informal,ENPOVE_2022
1,19.0,6,2,5.0,13.0, , ,1,10.0,10.0,0.0,9,2,Empleado_Informal,ENPOVE_2022
1,17.0,6,2,5.0,13.0, , ,1,10.0,10.0,0.0,9,1,Empleado_Informal,ENPOVE_2022
1,22.0,1,2,5.0,13.0, , ,1,10.0,10.0,0.0,9,1,Empleado_Informal,ENPOVE_2022
2,18.0,1,2,5.0,13.0, , ,1,10.0,10.0,0.0,9,1,Empleado_Informal,ENPOVE_2022
2,47.0,5,2,9.0,13.0, , ,1,13.5,13.5,0.0,2,4,Empleado_Formal,ENPOVE_2022
1,14.0,6,2,1.0,4.0, , ,1,0.0,6.0,-6.0,2,4,Empleado_Informal,ENPOVE_2022
2,21.0,1,2,9.0,13.0, , ,1,13.5,13.5,0.0,9,1,Empleado_Informal,ENPOVE_2022
1,21.0,1,2,9.0,13.0, , ,1,13.5,13.5,0.0,1,4,Empleado_Informal,ENPOVE_2022
1,30.0,6,2,9.0,13.0, , ,1,13.5,13.5,0.0,9,3,Empleado_Informal,ENPOVE_2022
2,19.0,6,2,6.0,13.0, , ,1,11.0,11.0,0.0,9,1,Empleado_Informal,ENPOVE_2022
1,22.0,1,2,6.0,13.0, , ,1,11.0,11.0,0.0,9,3,Empleado_Informal,ENPOVE_2022
2,35.0,6,2,6.0,13.0, , ,1,11.0,11.0,0.0,1,4,Empleado_Informal,ENPOVE_2022
1,24.0,1,2,6.0,13.0, , ,1,11.0,11.0,0.0,9,3,Empleado_Informal,ENPOVE_2022
2,22.0,1,2,6.0,13.0, , ,1,11.0,11.0,0.0,9,2,Empleado_Informal,ENPOVE_2022
1,23.0,1,2,6.0,13.0, , ,1,11.0,11.0,0.0,9,1,Empleado_Informal,ENPOVE_2022
1,22.0,1,2,6.0,13.0, , ,1,11.0,11.0,0.0,9,2,Empleado_Informal,ENPOVE_2022
2,21.0,1,2,9.0,13.0, , ,1,13.5,13.5,0.0,9,1,Empleado_Informal,ENPOVE_2022
1,45.0,1,2,10.0,13.0,1,2,1,16.0,16.0,0.0,2,4,Empleado_Informal,ENPOVE_2022
2,43.0,1,2,6.0,13.0, , ,1,11.0,11.0,0.0,2,4,Empleado_Informal,ENPOVE_2022
2,18.0,6,2,1.0,6.0, , ,1,0.0,11.0,-11.0,9,4,Empleado_Informal,ENPOVE_2022
1,55.0,2,2,6.0,13.0, , ,1,11.0,11.0,0.0,2,5,Empleado_Informal,ENPOVE_2022
2,47.0,2,2,10.0,13.0,1,2,1,16.0,16.0,0.0,2,4,Empleado_Informal,ENPOVE_2022
1,26.0,6,2,9.0,13.0, , ,1,13.5,13.5,0.0,2,4,Empleado_Formal,ENPOVE_2022
1,21.0,6,2,9.0,13.0, , ,1,13.5,13.5,0.0,2,4,Empleado_Informal,ENPOVE_2022
1,40.0,5,2,9.0,13.0, , ,1,13.5,13.5,0.0,2,5,Empleado_Informal,ENPOVE_2022
1,18.0,6,2,1.0,6.0, , ,1,0.0,11.0,-11.0,1,4,Desempleado,ENPOVE_2022
2,22.0,6,2,6.0,13.0, , ,1,11.0,11.0,0.0,9,1,Empleado_Informal,ENPOVE_2022
1,31.0,6,2,6.0,13.0, , ,1,11.0,11.0,0.0,9,5,Empleado_Informal,ENPOVE_2022
2,28.0,1,2,6.0,13.0, , ,1,11.0,11.0,0.0,2,4,Empleado_Informal,ENPOVE_2022
1,29.0,1,2,10.0,13.0,1,2,1,16.0,16.0,0.0,2,5,Empleado_Informal,ENPOVE_2022
2,26.0,1,2,9.0,13.0, , ,1,13.5,13.5,0.0,2,5,Desempleado,ENPOVE_2022
1,25.0,6,2,5.0,13.0, , ,1,10.0,10.0,0.0,9,2,Empleado_Informal,ENPOVE_2022
1,20.0,1,2,5.0,13.0, , ,1,10.0,10.0,0.0,9,1,Empleado_Informal,ENPOVE_2022
2,24.0,1,2,5.0,13.0, , ,1,10.0,10.0,0.0,9,3,Empleado_Informal,ENPOVE_2022
2,48.0,5,2,6.0,13.0, , ,1,11.0,11.0,0.0,9,2,Empleado_Informal,ENPOVE_2022
2,41.0,5,2,5.0,13.0, , ,1,10.0,10.0,0.0,9,1,Empleado_Informal,ENPOVE_2022
1,17.0,6,2,3.0,13.0, , ,1,4.5,4.5,0.0,9,1,Empleado_Informal,ENPOVE_2022
1,30.0,2,2,5.0,13.0, , ,1,10.0,10.0,0.0,9,4,Empleado_Informal,ENPOVE_2022
2,29.0,2,2,10.0,13.0,1,2,1,16.0,16.0,0.0,9,4,Empleado_Informal,ENPOVE_2022
1,30.0,1,2,10.0,13.0,1,2,1,16.0,16.0,0.0,1,3,Empleado_Informal,ENPOVE_2022
1,24.0,1,2,6.0,13.0, , ,1,11.0,11.0,0.0,1,3,Empleado_Informal,ENPOVE_2022
1,19.0,6,2,6.0,13.0, , ,1,11.0,11.0,0.0,1,1,Empleado_Informal,ENPOVE_2022
1,28.0,1,2,6.0,13.0, , ,1,11.0,11.0,0.0,9,3,Empleado_Informal,ENPOVE_2022
2,28.0,1,2,6.0,13.0, , ,1,11.0,11.0,0.0,9,2,Empleado_Informal,ENPOVE_2022
1,23.0,6,2,6.0,13.0, , ,1,11.0,11.0,0.0,9,4,Empleado_Informal,ENPOVE_2022
2,38.0,5,2,6.0,13.0, , ,1,11.0,11.0,0.0,9,1,Empleado_Informal,ENPOVE_2022
1,14.0,6,2,4.0,13.0, , ,1,9.0,9.0,0.0,9,1,Empleado_Informal,ENPOVE_2022
