CONGLOME,VIVIENDA,HOGAR,CODPERSO,nacionalidad,ocupacion_principal,rama_actividad,anios_en_ocupacion_actual,meses_en_ocupacion_actual,tipo_contrato,indicador_pea,condicion_formalidad,sexo,edad,estado_civil,nivel_educ_venezuela,nivel_educ_peru,obtuvo_titulo,homologo_titulo_peru,tiene_carrera_superior,tipo_permiso_migratorio,mes_llegada_peru,anio_llegada_peru,discriminado_centro_trabajo,tiempo_residencia_anios,condicion_laboral,anios_escolaridad_venezuela,anios_escolaridad_peru,brecha_educativa_anios,ocupacion_grupo,rama_division,tiene_ocupacion_actual
5,2,11,1,2,7513,1071,0.0,6.0, ,1,2.0,2,37,1,6,13, , , ,2,3.0,2022.0, ,2.0,Empleado_Formal,11.0,11.0,0.0,7,10,1
5,2,11,2,2,7513,1071,0.0,5.0,7,1,1.0,1,39,1,8,13,1,2,3,2,3.0,2022.0, ,2.0,Empleado_Informal,14.0,14.0,0.0,7,10,1
5,2,11,3,2,7513,1071,0.0,5.0,7,1,1.0,1,18,6,3,6, , ,1,2,3.0,2022.0, ,2.0,Empleado_Informal,4.5,11.0,-6.5,7,10,1
5,9,12,1,2,9512,4799,1.0,5.0,7,1,1.0,1,59,1,6,13, , , ,2,12.0,2022.0, ,2.0,Empleado_Informal,11.0,11.0,0.0,9,47,1
5,9,12,2,2,9512,4799,1.0,4.0, ,1,1.0,2,51,1,10,13,1,2,3,2,12.0,2022.0,0,2.0,Empleado_Informal,16.0,16.0,0.0,9,47,1
5,9,12,3,2,9333,5224,0.0,5.0, ,1,1.0,1,31,6,9,13, , ,3,2,2.0,2023.0, ,1.0,Empleado_Informal,13.5,13.5,0.0,9,52,1
5,9,22,1,2,5142,9602,1.0,0.0, ,1,1.0,2,39,6,7,13, , ,3,2,10.0,2022.0, ,2.0,Empleado_Informal,12.5,12.5,0.0,5,96,1
5,10,11,1,2,9411,5610,5.0,0.0, ,1,2.0,2,58,1,6,13, , , ,2,4.0,2019.0, ,5.0,Empleado_Formal,11.0,11.0,0.0,9,56,1
5,10,11,2,2,9412,5610,5.0,0.0,7,1,1.0,1,64,1,4,13, , , ,2,4.0,2019.0,1,5.0,Empleado_Informal,9.0,9.0,0.0,9,56,1
10,13,11,1,2,5131,5610,0.0,10.0,7,1,1.0,1,36,6,8,13,1,2,3,2,7.0,2018.0, ,6.0,Empleado_Informal,14.0,14.0,0.0,5,56,1
10,16,11,1,2,9333,5224,0.0,5.0,7,1,1.0,1,42,1,4,13, , , ,2,11.0,2018.0, ,6.0,Empleado_Informal,9.0,9.0,0.0,9,52,1
10,16,11,2,2,9629,4921,1.0,0.0,7,1,1.0,2,35,1,6,13, , , ,2,11.0,2018.0, ,6.0,Empleado_Informal,11.0,11.0,0.0,9,49,1
10,16,11,3,2,9629,4921,0.0,6.0,7,1,1.0,1,14,6,4,5, , , ,2,11.0,2018.0, ,6.0,Empleado_Informal,9.0,8.5,0.5,9,49,1
