sexo,edad,estado_civil,nacionalidad,nivel_educ_venezuela,nivel_educ_peru,obtuvo_titulo,homologo_titulo_peru,tiene_carrera_superior,anios_escolaridad_venezuela,anios_escolaridad_peru,brecha_educativa_anios,tipo_permiso_migratorio,tiempo_residencia_anios,condicion_laboral
2,37.0,1,2,6,13, , , ,11.0,11.0,0.0,2,2.0,Empleado_Formal
1,39.0,1,2,8,13,1,2,3,14.0,14.0,0.0,2,2.0,Empleado_Informal
1,18.0,6,2,3,6, , ,1,4.5,11.0,-6.5,2,2.0,Empleado_Informal
1,59.0,1,2,6,13, , , ,11.0,11.0,0.0,2,2.0,Empleado_Informal
2,51.0,1,2,10,13,1,2,3,16.0,16.0,0.0,2,2.0,Empleado_Informal
1,31.0,6,2,9,13, , ,3,13.5,13.5,0.0,2,1.0,Empleado_Informal
2,39.0,6,2,7,13, , ,3,12.5,12.5,0.0,2,2.0,Empleado_Informal
2,58.0,1,2,6,13, , , ,11.0,11.0,0.0,2,5.0,Empleado_Formal
1,64.0,1,2,4,13, , , ,9.0,9.0,0.0,2,5.0,Empleado_Informal
1,36.0,6,2,8,13,1,2,3,14.0,14.0,0.0,2,6.0,Empleado_Informal
1,42.0,1,2,4,13, , , ,9.0,9.0,0.0,2,6.0,Empleado_Informal
2,35.0,1,2,6,13, , , ,11.0,11.0,0.0,2,6.0,Empleado_Informal
1,16.0,6,2,4,5, , , ,9.0,8.5,0.5,2,6.0,Empleado_Informal
1,32.0,2,2,10,13,1,2,3,16.0,16.0,0.0,2,1.0,Empleado_Informal
2,30.0,2,2,10,13,1,2,3,16.0,16.0,0.0,2,1.0,Empleado_Informal
1,32.0,1,2,5,13, , , ,10.0,10.0,0.0,2,6.0,Empleado_Informal
2,34.0,1,1,1,6, , ,1,0.0,11.0,-11.0,No Especificado,5.0,Empleado_Informal
2,53.0,5,2,7,13, , ,3,12.5,12.5,0.0,2,8.0,Desempleado
1,28.0,6,2,10,13,1,2,3,16.0,16.0,0.0,2,8.0,Empleado_Formal
1,50.0,2,2,5,13, , , ,10.0,10.0,0.0,9,0.0,Empleado_Informal
2,52.0,2,2,6,13, , , ,11.0,11.0,0.0,9,0.0,Empleado_Informal
2,60.0,2,2,5,13, , , ,10.0,10.0,0.0,2,6.0,Empleado_Informal
2,36.0,5,2,10,10, , ,3,16.0,16.0,0.0,2,6.0,Empleado_Informal
2,26.0,1,2,6,13, , , ,11.0,11.0,0.0,2,6.0,Empleado_Informal
1,36.0,1,2,9,13, , ,3,13.5,13.5,0.0,2,7.0,Empleado_Informal
1,29.0,1,1,6,13, , , ,11.0,11.0,0.0,No Especificado,5.0,Empleado_Informal
2,26.0,1,2,6,13, , , ,11.0,11.0,0.0,6,6.0,Empleado_Informal
2,22.0,1,2,5,13, , , ,10.0,10.0,0.0,9,1.0,Empleado_Informal
1,30.0,1,2,5,13, , , ,10.0,10.0,0.0,9,1.0,Empleado_Informal
1,37.0,1,2,3,13, , , ,4.5,4.5,0.0,6,4.0,Empleado_Informal
2,27.0,1,2,4,13, , , ,9.0,9.0,0.0,2,6.0,Empleado_Informal
1,39.0,1,2,3,13, , , ,4.5,4.5,0.0,2,6.0,Empleado_Informal
2,20.0,6,2,3,5, , , ,4.5,8.5,-4.0,2,4.0,Desempleado
1,17.0,6,2,4,13, , , ,9.0,9.0,0.0,2,4.0,Empleado_Informal
2,22.0,1,2,3,13, , , ,4.5,4.5,0.0,2,4.0,Empleado_Informal
1,38.0,1,2,3,3, , , ,4.5,4.5,0.5,2,5.0,Empleado_Informal
2,32.0,1,2,4,13, , , ,9.0,9.0,0.0,2,5.0,Desempleado
1,17.0,1,2,5,5, , , ,10.0,8.5,0.5,2,5.0,Empleado_Informal
2,25.0,5,2,3,13, , , ,4.5,4.5,0.0,1,2.0,Empleado_Informal
2,26.0,5,2,6,13, , , ,11.0,11.0,0.0,9,4.0,Empleado_Informal
2,22.0,5,2,5,13, , , ,10.0,10.0,0.0,9,1.0,Empleado_Informal
2,22.0,5,2,5,13, , , ,10.0,10.0,0.0,9,2.0,Empleado_Informal
1,30.0,1,1,1,9, , ,3,0.0,13.5,-13.5,No Especificado,5.0,Empleado_Informal
2,32.0,1,2,5,13, , , ,10.0,10.0,0.0,9,1.0,Desempleado
1,35.0,1,2,5,13, , , ,10.0,10.0,0.0,9,1.0,Empleado_Informal
2,21.0,6,2,6,13, , , ,11.0,11.0,0.0,1,2.0,Empleado_Informal
1,30.0,1,2,9,13, , ,3,13.5,13.5,0.0,2,5.0,Empleado_Formal
2,26.0,1,2,6,13, , , ,11.0,11.0,0.0,2,5.0,Empleado_Informal
1,28.0,6,2,7,13, , ,3,12.5,12.5,0.0,1,3.0,Empleado_Informal
2,36.0,1,2,6,13, , , ,11.0,11.0,0.0,1,5.0,Desempleado
1,38.0,1,2,5,13, , , ,10.0,10.0,0.0,2,6.0,Empleado_Informal
1,38.0,1,2,5,13, , , ,10.0,10.0,0.0,6,5.0,Empleado_Formal
2,30.0,1,2,6,13, , , ,11.0,11.0,0.0,6,5.0,Desempleado
1,30.0,1,2,5,13, , , ,10.0,10.0,0.0,6,6.0,Empleado_Informal
2,36.0,1,2,5,13, , , ,10.0,10.0,0.0,1,2.0,Empleado_Informal
1,30.0,6,2,7,13, , ,3,12.5,12.5,0.0,1,5.0,Empleado_Informal
1,30.0,1,2,6,13, , , ,11.0,11.0,0.0,1,5.0,Empleado_Informal
2,23.0,1,2,4,13, , , ,9.0,9.0,0.0,9,6.0,Empleado_Informal
1,45.0,6,2,6,13, , , ,11.0,11.0,0.0,2,6.0,Empleado_Informal
2,45.0,5,2,8,13,1,2,3,14.0,14.0,0.0,6,6.0,Desempleado
1,23.0,1,2,5,13, , , ,10.0,10.0,0.0,1,5.0,Empleado_Informal
2,29.0,1,2,10,13,2, ,3,16.0,16.0,0.0,6,6.0,Empleado_Informal
1,28.0,1,2,5,13, , , ,10.0,10.0,0.0,1,5.0,Empleado_Informal
2,25.0,6,2,5,13, , , ,10.0,10.0,0.0,2,1.0,Empleado_Informal
1,58.0,1,2,5,13, , , ,10.0,10.0,0.0,2,5.0,Empleado_Informal
2,64.0,1,2,3,13, , , ,4.5,4.5,0.0,1,5.0,Empleado_Informal
1,34.0,1,2,10,13,1,2,3,16.0,16.0,0.0,1,1.0,Empleado_Informal
1,35.0,1,2,6,13, , , ,11.0,11.0,0.0,2,5.0,Empleado_Informal
1,24.0,6,2,6,13, , , ,11.0,11.0,0.0,1,5.0,Empleado_Informal
1,25.0,1,2,6,13, , , ,11.0,11.0,0.0,2,3.0,Empleado_Informal
